spotify_id,name,followers,popularity,genres,chart_hits
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,49387909.0,93,"['canadian contemporary r&b', 'canadian pop', 'pop']","['us (81)', 'gb (74)', 'ar (23)', 'au (76)', 'at (61)', 'be (68)', 'bo (46)', 'br (41)', 'bg (83)', 'ca (83)', 'cl (29)', 'co (39)', 'cr (46)', 'cy (62)', 'cz (65)', 'dk (76)', 'do (62)', 'ec (36)', 'eg (38)', 'sv (42)', 'ee (78)', 'fi (68)', 'fr (66)', 'de (64)', 'gr (76)', 'gt (44)', 'hn (56)', 'hk (61)', 'hu (71)', 'is (77)', 'in (22)', 'id (26)', 'ie (74)', 'il (34)', 'it (54)', 'jp (12)', 'lv (71)', 'lt (75)', 'lu (64)', 'my (69)', 'mt (54)', 'mx (48)', 'ma (36)', 'nl (71)', 'nz (73)', 'ni (43)', 'no (78)', 'pa (61)', 'py (18)', 'pe (25)', 'ph (38)', 'pl (67)', 'pt (74)', 'ro (48)', 'ru (13)', 'sa (38)', 'sg (69)', 'sk (76)', 'za (38)', 'kr (24)', 'es (32)', 'se (75)', 'ch (74)', 'tw (47)', 'th (28)', 'tr (53)', 'ua (16)', 'ae (43)', 'uy (26)', 'vn (30)', 'ad (5)']"
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,43103624.0,87,"['dance pop', 'pop']","['us (24)', 'gb (19)', 'ar (12)', 'au (17)', 'at (11)', 'be (15)', 'bo (10)', 'br (12)', 'bg (8)', 'ca (25)', 'cl (15)', 'co (11)', 'cr (21)', 'cy (8)', 'cz (10)', 'dk (19)', 'do (19)', 'ec (12)', 'eg (3)', 'sv (11)', 'ee (11)', 'fi (12)', 'fr (12)', 'de (9)', 'gr (12)', 'gt (9)', 'hn (11)', 'hk (29)', 'hu (12)', 'is (13)', 'in (2)', 'id (14)', 'ie (15)', 'il (10)', 'it (9)', 'jp (16)', 'lv (12)', 'lt (13)', 'lu (10)', 'my (20)', 'mt (6)', 'mx (10)', 'ma (2)', 'nl (22)', 'nz (20)', 'ni (9)', 'no (16)', 'pa (13)', 'py (8)', 'pe (18)', 'ph (22)', 'pl (10)', 'pt (18)', 'ro (6)', 'sa (4)', 'sg (20)', 'sk (13)', 'za (9)', 'kr (10)', 'es (12)', 'se (11)', 'ch (15)', 'tw (24)', 'th (12)', 'tr (8)', 'ua (1)', 'ae (7)', 'uy (9)', 'vn (7)', 'ad (2)']"
1dfeR4HaWDbWqFHLkxsg1d,Queen,42644068.0,84,"['classic rock', 'glam rock', 'rock']","['us (7)', 'gb (9)', 'ar (13)', 'au (10)', 'at (9)', 'be (6)', 'bo (15)', 'br (7)', 'bg (13)', 'ca (7)', 'cl (12)', 'co (16)', 'cr (16)', 'cy (11)', 'cz (20)', 'dk (8)', 'do (3)', 'ec (16)', 'sv (11)', 'ee (15)', 'fi (8)', 'fr (7)', 'de (7)', 'gr (8)', 'gt (11)', 'hn (15)', 'hk (5)', 'hu (16)', 'is (12)', 'in (1)', 'id (12)', 'ie (8)', 'il (9)', 'it (8)', 'jp (17)', 'lv (11)', 'lt (19)', 'lu (7)', 'my (8)', 'mt (18)', 'mx (16)', 'nl (9)', 'nz (9)', 'ni (11)', 'no (7)', 'pa (10)', 'py (6)', 'pe (12)', 'ph (10)', 'pl (10)', 'pt (12)', 'ro (7)', 'sa (1)', 'sg (5)', 'sk (17)', 'za (1)', 'es (7)', 'se (8)', 'ch (8)', 'tw (5)', 'th (2)', 'tr (8)', 'ae (1)', 'uy (7)', 'vn (1)']"
4dpARuHxo51G3z768sgnrY,Adele,42174621.0,84,"['british soul', 'pop', 'pop soul', 'uk pop']","['us (24)', 'gb (29)', 'ar (8)', 'au (25)', 'at (22)', 'be (27)', 'bo (8)', 'br (13)', 'bg (20)', 'ca (23)', 'cl (9)', 'co (16)', 'cr (23)', 'cy (23)', 'cz (22)', 'dk (23)', 'do (21)', 'ec (9)', 'eg (11)', 'sv (11)', 'ee (23)', 'fi (21)', 'fr (18)', 'de (21)', 'gr (17)', 'gt (9)', 'hn (15)', 'hk (23)', 'hu (20)', 'is (28)', 'in (1)', 'id (12)', 'ie (28)', 'il (16)', 'it (16)', 'jp (2)', 'lv (23)', 'lt (22)', 'lu (24)', 'my (24)', 'mt (8)', 'mx (12)', 'ma (6)', 'nl (29)', 'nz (27)', 'ni (13)', 'no (24)', 'pa (18)', 'py (8)', 'pe (9)', 'ph (16)', 'pl (23)', 'pt (25)', 'ro (11)', 'ru (2)', 'sa (14)', 'sg (23)', 'sk (20)', 'za (22)', 'kr (14)', 'es (16)', 'se (23)', 'ch (25)', 'tw (23)', 'th (3)', 'tr (10)', 'ua (3)', 'ae (22)', 'uy (9)', 'vn (18)', 'ad (1)']"
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,41751320.0,88,"['modern rock', 'rock']","['us (29)', 'gb (25)', 'ar (14)', 'au (18)', 'at (29)', 'be (24)', 'bo (18)', 'br (23)', 'bg (30)', 'ca (30)', 'cl (13)', 'co (15)', 'cr (18)', 'cy (17)', 'cz (53)', 'dk (19)', 'do (13)', 'ec (14)', 'eg (15)', 'sv (18)', 'ee (50)', 'fi (25)', 'fr (21)', 'de (26)', 'gr (22)', 'gt (18)', 'hn (16)', 'hk (31)', 'hu (45)', 'is (17)', 'in (5)', 'id (10)', 'ie (22)', 'il (13)', 'it (31)', 'jp (3)', 'lv (57)', 'lt (45)', 'lu (25)', 'my (22)', 'mt (24)', 'mx (21)', 'ma (3)', 'nl (28)', 'nz (20)', 'ni (14)', 'no (28)', 'pa (19)', 'py (19)', 'pe (11)', 'ph (16)', 'pl (43)', 'pt (45)', 'ro (14)', 'ru (8)', 'sa (14)', 'sg (26)', 'sk (48)', 'za (8)', 'kr (7)', 'es (20)', 'se (24)', 'ch (38)', 'tw (32)', 'th (14)', 'tr (20)', 'ua (11)', 'ae (7)', 'uy (13)', 'vn (12)', 'ad (1)']"
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,39186962.0,84,"['canadian pop', 'dance pop', 'pop', 'viral pop']","['us (33)', 'gb (30)', 'ar (14)', 'au (31)', 'at (39)', 'be (39)', 'bo (15)', 'br (19)', 'bg (39)', 'ca (45)', 'cl (14)', 'co (14)', 'cr (18)', 'cy (31)', 'cz (35)', 'dk (37)', 'do (15)', 'ec (14)', 'eg (6)', 'sv (14)', 'ee (26)', 'fi (18)', 'fr (14)', 'de (28)', 'gr (41)', 'gt (14)', 'hn (14)', 'hk (32)', 'hu (44)', 'is (23)', 'in (12)', 'id (24)', 'ie (35)', 'il (17)', 'it (16)', 'jp (13)', 'lv (26)', 'lt (35)', 'lu (27)', 'my (35)', 'mt (28)', 'mx (15)', 'ma (4)', 'nl (41)', 'nz (31)', 'ni (15)', 'no (31)', 'pa (17)', 'py (11)', 'pe (12)', 'ph (25)', 'pl (40)', 'pt (45)', 'ro (19)', 'ru (2)', 'sa (7)', 'sg (37)', 'sk (42)', 'za (10)', 'kr (8)', 'es (16)', 'se (35)', 'ch (35)', 'tw (37)', 'th (19)', 'tr (14)', 'ua (3)', 'ae (12)', 'uy (15)', 'vn (21)', 'ad (4)']"
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,38371125.0,88,"['permanent wave', 'pop']","['us (18)', 'gb (29)', 'ar (18)', 'au (16)', 'at (17)', 'be (23)', 'bo (11)', 'br (17)', 'bg (14)', 'ca (20)', 'cl (18)', 'co (13)', 'cr (32)', 'cy (12)', 'cz (23)', 'dk (17)', 'do (15)', 'ec (10)', 'eg (10)', 'sv (14)', 'ee (29)', 'fi (22)', 'fr (12)', 'de (14)', 'gr (18)', 'gt (12)', 'hn (14)', 'hk (29)', 'hu (19)', 'is (18)', 'in (3)', 'id (20)', 'ie (28)', 'il (6)', 'it (28)', 'jp (3)', 'lv (33)', 'lt (36)', 'lu (17)', 'my (26)', 'mt (26)', 'mx (17)', 'ma (2)', 'nl (35)', 'nz (14)', 'ni (10)', 'no (24)', 'pa (13)', 'py (14)', 'pe (24)', 'ph (21)', 'pl (24)', 'pt (30)', 'ro (5)', 'ru (1)', 'sa (5)', 'sg (42)', 'sk (22)', 'za (4)', 'kr (9)', 'es (21)', 'se (22)', 'ch (30)', 'tw (48)', 'th (8)', 'tr (16)', 'ua (2)', 'ae (14)', 'uy (12)', 'vn (8)']"
246dkjvS1zLTtiykXe5h60,Post Malone,38085069.0,89,"['dfw rap', 'melodic rap', 'rap']","['us (65)', 'gb (57)', 'ar (7)', 'au (54)', 'at (45)', 'be (43)', 'bo (16)', 'br (16)', 'bg (45)', 'ca (62)', 'cl (6)', 'co (9)', 'cr (25)', 'cy (44)', 'cz (45)', 'dk (55)', 'do (22)', 'ec (8)', 'eg (25)', 'sv (22)', 'ee (48)', 'fi (50)', 'fr (27)', 'de (45)', 'gr (44)', 'gt (21)', 'hn (24)', 'hk (38)', 'hu (48)', 'is (58)', 'in (19)', 'id (17)', 'ie (52)', 'il (36)', 'it (33)', 'jp (14)', 'lv (46)', 'lt (46)', 'lu (48)', 'my (41)', 'mt (42)', 'mx (12)', 'ma (17)', 'nl (51)', 'nz (54)', 'ni (15)', 'no (55)', 'pa (27)', 'py (11)', 'pe (5)', 'ph (24)', 'pl (34)', 'pt (49)', 'ro (45)', 'ru (3)', 'sa (21)', 'sg (39)', 'sk (54)', 'za (36)', 'kr (17)', 'es (15)', 'se (51)', 'ch (46)', 'tw (27)', 'th (24)', 'tr (15)', 'ua (4)', 'ae (32)', 'uy (7)', 'vn (14)']"
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,37935983.0,87,"['emo rap', 'miami hip hop']","['us (50)', 'gb (33)', 'ar (9)', 'au (41)', 'at (20)', 'be (35)', 'bo (10)', 'br (8)', 'bg (42)', 'ca (47)', 'cl (11)', 'co (8)', 'cr (14)', 'cy (34)', 'cz (24)', 'dk (33)', 'do (12)', 'ec (9)', 'eg (11)', 'sv (11)', 'ee (47)', 'fi (24)', 'fr (31)', 'de (18)', 'gr (40)', 'gt (10)', 'hn (12)', 'hk (10)', 'hu (36)', 'is (43)', 'in (5)', 'id (7)', 'ie (36)', 'il (21)', 'it (32)', 'jp (7)', 'lv (45)', 'lt (45)', 'lu (37)', 'my (13)', 'mt (31)', 'mx (7)', 'ma (5)', 'nl (24)', 'nz (43)', 'ni (8)', 'no (34)', 'pa (14)', 'py (10)', 'pe (7)', 'ph (6)', 'pl (14)', 'pt (38)', 'ro (45)', 'ru (3)', 'sa (13)', 'sg (11)', 'sk (38)', 'za (9)', 'es (11)', 'se (19)', 'ch (34)', 'tw (7)', 'th (8)', 'tr (13)', 'ua (4)', 'ae (16)', 'uy (8)', 'vn (9)']"
04gDigrS5kc9YWfZHwBETP,Maroon 5,37808723.0,85,['pop'],"['us (21)', 'gb (15)', 'ar (16)', 'au (17)', 'at (14)', 'be (19)', 'bo (15)', 'br (18)', 'bg (17)', 'ca (21)', 'cl (16)', 'co (15)', 'cr (17)', 'cy (13)', 'cz (20)', 'dk (14)', 'do (12)', 'ec (16)', 'eg (4)', 'sv (17)', 'ee (20)', 'fi (13)', 'fr (12)', 'de (11)', 'gr (19)', 'gt (15)', 'hn (14)', 'hk (34)', 'hu (20)', 'is (13)', 'in (4)', 'id (16)', 'ie (17)', 'il (24)', 'it (14)', 'jp (11)', 'lv (19)', 'lt (19)', 'lu (16)', 'my (31)', 'mt (17)', 'mx (19)', 'ma (4)', 'nl (13)', 'nz (17)', 'ni (14)', 'no (17)', 'pa (17)', 'py (14)', 'pe (20)', 'ph (33)', 'pl (15)', 'pt (24)', 'ro (6)', 'sa (5)', 'sg (33)', 'sk (19)', 'za (4)', 'kr (3)', 'es (11)', 'se (17)', 'ch (20)', 'tw (43)', 'th (14)', 'tr (15)', 'ua (2)', 'ae (10)', 'uy (16)', 'vn (9)', 'ad (1)']"
5f4QpKfy7ptCHwTqspnSJI,Neha Kakkar,37695348.0,74,"['desi pop', 'filmi', 'modern bollywood']",['in (18)']
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,37269207.0,82,"['dance pop', 'pop', 'post-teen pop', 'uk pop']","['us (31)', 'gb (16)', 'ar (17)', 'au (16)', 'at (15)', 'be (21)', 'bo (17)', 'br (26)', 'bg (33)', 'ca (28)', 'cl (17)', 'co (18)', 'cr (18)', 'cy (24)', 'cz (20)', 'dk (17)', 'do (20)', 'ec (17)', 'eg (12)', 'sv (20)', 'ee (23)', 'fi (15)', 'fr (16)', 'de (17)', 'gr (29)', 'gt (18)', 'hn (20)', 'hk (17)', 'hu (26)', 'is (16)', 'in (14)', 'id (11)', 'ie (18)', 'il (8)', 'it (12)', 'jp (8)', 'lv (20)', 'lt (21)', 'lu (18)', 'my (23)', 'mt (26)', 'mx (18)', 'ma (6)', 'nl (17)', 'nz (17)', 'ni (19)', 'no (21)', 'pa (19)', 'py (17)', 'pe (18)', 'ph (15)', 'pl (32)', 'pt (27)', 'ro (14)', 'ru (1)', 'sa (18)', 'sg (17)', 'sk (32)', 'za (13)', 'kr (2)', 'es (18)', 'se (16)', 'ch (18)', 'tw (18)', 'th (8)', 'tr (23)', 'ua (2)', 'ae (15)', 'uy (20)', 'vn (14)', 'ad (1)']"
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,36163788.0,88,"['dance pop', 'pop', 'uk pop']","['us (17)', 'gb (25)', 'ar (18)', 'au (20)', 'at (14)', 'be (23)', 'bo (10)', 'br (18)', 'bg (24)', 'ca (19)', 'cl (16)', 'co (18)', 'cr (18)', 'cy (21)', 'cz (17)', 'dk (17)', 'do (9)', 'ec (9)', 'eg (13)', 'sv (19)', 'ee (24)', 'fi (22)', 'fr (12)', 'de (14)', 'gr (22)', 'gt (12)', 'hn (18)', 'hk (19)', 'hu (24)', 'is (12)', 'in (6)', 'id (13)', 'ie (24)', 'il (12)', 'it (11)', 'jp (9)', 'lv (18)', 'lt (24)', 'lu (20)', 'my (16)', 'mt (20)', 'mx (18)', 'ma (6)', 'nl (20)', 'nz (19)', 'ni (18)', 'no (16)', 'pa (15)', 'py (9)', 'pe (16)', 'ph (18)', 'pl (23)', 'pt (21)', 'ro (18)', 'ru (6)', 'sa (10)', 'sg (21)', 'sk (23)', 'za (5)', 'kr (6)', 'es (18)', 'se (14)', 'ch (14)', 'tw (18)', 'th (11)', 'tr (12)', 'ua (6)', 'ae (15)', 'uy (15)', 'vn (19)']"
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,35224872.0,88,"['reggaeton', 'reggaeton colombiano', 'trap latino']","['us (21)', 'gb (3)', 'ar (48)', 'au (3)', 'at (8)', 'be (10)', 'bo (52)', 'br (7)', 'bg (14)', 'ca (12)', 'cl (57)', 'co (87)', 'cr (57)', 'cy (11)', 'cz (6)', 'dk (4)', 'do (67)', 'ec (62)', 'eg (2)', 'sv (54)', 'ee (7)', 'fi (8)', 'fr (6)', 'de (9)', 'gr (13)', 'gt (62)', 'hn (58)', 'hk (5)', 'hu (12)', 'is (5)', 'in (2)', 'id (2)', 'ie (4)', 'il (5)', 'it (19)', 'jp (3)', 'lv (7)', 'lt (14)', 'lu (20)', 'my (4)', 'mt (16)', 'mx (51)', 'ma (5)', 'nl (10)', 'nz (4)', 'ni (47)', 'no (5)', 'pa (62)', 'py (45)', 'pe (50)', 'ph (2)', 'pl (6)', 'pt (24)', 'ro (9)', 'ru (1)', 'sa (6)', 'sg (5)', 'sk (11)', 'za (1)', 'kr (2)', 'es (57)', 'se (6)', 'ch (29)', 'tw (6)', 'th (3)', 'tr (3)', 'ua (2)', 'ae (8)', 'uy (50)', 'ad (3)']"
